Date,CPI
01/05/1977,103
01/06/1977,104.04
01/07/1977,107.77
01/08/1977,110.51
01/09/1977,112.03
01/10/1977,119.3
01/11/1977,120.54
01/12/1977,120.22
01/01/1978,122.41
01/02/1978,124.58
01/03/1978,124.89
01/04/1978,127.26
01/05/1978,136.11
01/06/1978,136.54
01/07/1978,137.79
01/08/1978,138.21
01/09/1978,145.49
01/10/1978,156.7
01/11/1978,158.25
01/12/1978,159.18
01/01/1979,171.47
01/02/1979,175.2
01/03/1979,180.18
01/04/1979,189.27
01/05/1979,191.6
01/06/1979,215.78
01/07/1979,224.9
01/08/1979,236.01
01/09/1979,251.9
01/10/1979,263.52
01/11/1979,275.37
01/12/1979,282.8
01/01/1980,328.11
01/02/1980,362.72
01/03/1980,366.12
01/04/1980,367.06
01/05/1980,379.3
01/06/1980,433.64
01/07/1980,434.98
01/08/1980,449.1
01/09/1980,474.29
01/10/1980,499.01
01/11/1980,531.93
01/12/1980,545.73
01/01/1981,570.71
01/02/1981,592.96
01/03/1981,604.2
01/04/1981,577.23
01/05/1981,594.48
01/06/1981,619.12
01/07/1981,614.28
01/08/1981,665.36
01/09/1981,691.77
01/10/1981,739.99
01/11/1981,806.89
01/12/1981,779.55
01/01/1982,793.52
01/02/1982,827.56
01/03/1982,787.65
01/04/1982,790.34
01/05/1982,834.98
01/06/1982,861.35
01/07/1982,862.25
01/08/1982,915.19
01/09/1982,944.82
01/10/1982,996.11
01/11/1982,1012.21
01/12/1982,1038.32
01/01/1983,1089.3
01/02/1983,1104.8
01/03/1983,1129.03
01/04/1983,1131.96
01/05/1983,1146.63
01/06/1983,1171.47
01/07/1983,1180.59
01/08/1983,1207.44
01/09/1983,1228.2
01/10/1983,1284.21
01/11/1983,1337.32
01/12/1983,1389.56
01/01/1984,1520.53
01/02/1984,1545.24
01/03/1984,1572.36
01/04/1984,1621.65
01/05/1984,1705.66
01/06/1984,1784.3
01/07/1984,1816.59
01/08/1984,1864.07
01/09/1984,1926.95
01/10/1984,2047.55
01/11/1984,2201.96
01/12/1984,2372.29
01/01/1985,2375.26
01/02/1985,2432.14
01/03/1985,2512.42
01/04/1985,2583.12
01/05/1985,2662.89
01/06/1985,2694.01
01/07/1985,2757.85
01/08/1985,3369.4
01/09/1985,3504.47
01/10/1985,3610.83
01/11/1985,3505.57
01/12/1985,3393.22
01/01/1986,3633.98
01/02/1986,3784.71
01/03/1986,4038.3
01/04/1986,4042.96
01/05/1986,4095.18
01/06/1986,4108.11
01/07/1986,4470.73
01/08/1986,4630.85
01/09/1986,4637.71
01/10/1986,4710.14
01/11/1986,4800.7
01/12/1986,5024.91
01/01/1987,5184.71
01/02/1987,5247.74
01/03/1987,5479.47
01/04/1987,5527.37
01/05/1987,5595.38
01/06/1987,5885.01
01/07/1987,5996.22
01/08/1987,6018.46
01/09/1987,6252.57
01/10/1987,6760.73
01/11/1987,6954.49
01/12/1987,7185.97
01/01/1988,7766.59
01/02/1988,8413.66
01/03/1988,8918.5
01/04/1988,9096
01/05/1988,9236.12
01/06/1988,9445.95
01/07/1988,9804.53
01/08/1988,10400.25
01/09/1988,10643.13
01/10/1988,11033.33
01/11/1988,11343.77
01/12/1988,11682.23
01/01/1989,12349.08
01/02/1989,13326.37
01/03/1989,13605.9
01/04/1989,14110.36
01/05/1989,14496.96
01/06/1989,14622.72
01/07/1989,15515.93
01/08/1989,16405.56
01/09/1989,16557.19
01/10/1989,16818.75
01/11/1989,17284.52
01/12/1989,17734.96
01/01/1990,18876.82
01/02/1990,20730.08
01/03/1990,21427.83
01/04/1990,22172.3
01/05/1990,22754.36
01/06/1990,23449.24
01/07/1990,24019.81
01/08/1990,26778.51
01/09/1990,28054.73
01/10/1990,28726.62
01/11/1990,29374.07
01/12/1990,30045.24
01/01/1991,31045.53
01/02/1991,31976.11
01/03/1991,33253.77
01/04/1991,34614.8
01/05/1991,35448.36
01/06/1991,37201.74
01/07/1991,38092.08
01/08/1991,38809.96
01/09/1991,40518.06
01/10/1991,41782.07
01/11/1991,42818.3
01/12/1991,43965.89
01/01/1992,47227.6
01/02/1992,52002.68
01/03/1992,53765.4
01/04/1992,55197.55
01/05/1992,56330.78
01/06/1992,57373.47
01/07/1992,59186.48
01/08/1992,61136.75
01/09/1992,63400.34
01/10/1992,66012.44
01/11/1992,68550.52
01/12/1992,71827.32
01/01/1993,75368.56
01/02/1993,80533.11
01/03/1993,84656.42
01/04/1993,86552.8
01/05/1993,87877.17
01/06/1993,90030.81
01/07/1993,94471.01
01/08/1993,98978.76
01/09/1993,100890.96
01/10/1993,103441.97
01/11/1993,108365.78
01/12/1993,115756.55
01/01/1994,121335.73
01/02/1994,132390.63
01/03/1994,161586.49
01/04/1994,193119.22
01/05/1994,242373.25
01/06/1994,250536.52
01/07/1994,262350.26
01/08/1994,288565.36
01/09/1994,308050.82
01/10/1994,323109.01
01/11/1994,339038.88
